IP:PORT, LOSS, DELAY
162.159.192.83:1018,100.00%,1000 ms
188.114.97.77:880,100.00%,1000 ms
162.159.195.184:880,100.00%,1000 ms
188.114.98.182:1018,100.00%,1000 ms
162.159.193.228:1018,100.00%,1000 ms
162.159.192.117:880,100.00%,1000 ms
188.114.99.142:1018,100.00%,1000 ms
162.159.195.54:880,100.00%,1000 ms
162.159.192.0:1018,100.00%,1000 ms
162.159.193.137:880,100.00%,1000 ms
188.114.96.11:880,100.00%,1000 ms
162.159.192.220:880,100.00%,1000 ms
162.159.192.74:1018,100.00%,1000 ms
162.159.195.90:880,100.00%,1000 ms
188.114.99.165:880,100.00%,1000 ms
162.159.192.172:1018,100.00%,1000 ms
162.159.192.48:880,100.00%,1000 ms
188.114.99.109:1018,100.00%,1000 ms
162.159.193.36:880,100.00%,1000 ms
188.114.96.73:880,100.00%,1000 ms
162.159.193.15:1018,100.00%,1000 ms
162.159.192.232:880,100.00%,1000 ms
188.114.97.159:1018,100.00%,1000 ms
188.114.99.246:1018,100.00%,1000 ms
162.159.195.90:1018,100.00%,1000 ms
162.159.195.247:880,100.00%,1000 ms
162.159.193.127:1018,100.00%,1000 ms
188.114.97.159:880,100.00%,1000 ms
188.114.96.61:1018,100.00%,1000 ms
162.159.192.54:880,100.00%,1000 ms
188.114.97.125:880,100.00%,1000 ms
162.159.193.214:880,100.00%,1000 ms
188.114.96.154:880,100.00%,1000 ms
162.159.192.232:1018,100.00%,1000 ms
162.159.193.231:880,100.00%,1000 ms
188.114.97.176:880,100.00%,1000 ms
188.114.97.131:1018,100.00%,1000 ms
162.159.192.210:880,100.00%,1000 ms
162.159.195.154:880,100.00%,1000 ms
162.159.193.79:880,100.00%,1000 ms
188.114.99.168:1018,100.00%,1000 ms
162.159.193.110:1018,100.00%,1000 ms
162.159.192.83:880,100.00%,1000 ms
188.114.99.186:1018,100.00%,1000 ms
188.114.98.174:880,100.00%,1000 ms
162.159.192.54:1018,100.00%,1000 ms
188.114.97.246:880,100.00%,1000 ms
188.114.98.20:1018,100.00%,1000 ms
162.159.193.45:1018,100.00%,1000 ms
162.159.193.136:1018,100.00%,1000 ms
188.114.99.183:880,100.00%,1000 ms
188.114.99.75:880,100.00%,1000 ms
188.114.98.175:880,100.00%,1000 ms
162.159.192.48:1018,100.00%,1000 ms
162.159.193.178:1018,100.00%,1000 ms
188.114.96.73:1018,100.00%,1000 ms
188.114.98.199:880,100.00%,1000 ms
162.159.192.117:1018,100.00%,1000 ms
162.159.195.162:880,100.00%,1000 ms
188.114.97.77:1018,100.00%,1000 ms
188.114.98.164:880,100.00%,1000 ms
188.114.97.176:1018,100.00%,1000 ms
162.159.193.136:880,100.00%,1000 ms
162.159.192.172:880,100.00%,1000 ms
162.159.195.251:1018,100.00%,1000 ms
162.159.195.228:880,100.00%,1000 ms
162.159.195.161:880,100.00%,1000 ms
162.159.193.89:880,100.00%,1000 ms
188.114.98.241:1018,100.00%,1000 ms
162.159.192.221:1018,100.00%,1000 ms
188.114.96.215:880,100.00%,1000 ms
188.114.99.183:1018,100.00%,1000 ms
188.114.99.234:1018,100.00%,1000 ms
188.114.96.215:1018,100.00%,1000 ms
162.159.195.215:880,100.00%,1000 ms
162.159.193.45:880,100.00%,1000 ms
188.114.96.13:1018,100.00%,1000 ms
162.159.195.184:1018,100.00%,1000 ms
188.114.98.241:880,100.00%,1000 ms
188.114.96.178:880,100.00%,1000 ms
188.114.96.83:880,100.00%,1000 ms
162.159.195.45:1018,100.00%,1000 ms
188.114.97.130:1018,100.00%,1000 ms
188.114.97.125:1018,100.00%,1000 ms
188.114.99.76:880,100.00%,1000 ms
188.114.99.192:1018,100.00%,1000 ms
188.114.97.112:880,100.00%,1000 ms
162.159.195.41:1018,100.00%,1000 ms
188.114.99.234:880,100.00%,1000 ms
188.114.98.15:880,100.00%,1000 ms
188.114.96.11:1018,100.00%,1000 ms
188.114.98.199:1018,100.00%,1000 ms
188.114.97.197:1018,100.00%,1000 ms
188.114.98.203:880,100.00%,1000 ms
162.159.193.214:1018,100.00%,1000 ms
188.114.96.226:1018,100.00%,1000 ms
188.114.99.75:1018,100.00%,1000 ms
162.159.195.161:1018,100.00%,1000 ms
188.114.98.233:1018,100.00%,1000 ms
162.159.195.225:880,100.00%,1000 ms
